n_components,accuracy
2,0.61904761904761907
3,0.61904761904761907
4,0.66666666666666663
5,0.68253968253968256
6,0.65079365079365081
7,0.66666666666666663
8,0.66666666666666663
9,0.69841269841269837
10,0.66666666666666663
11,0.65079365079365081
12,0.63492063492063489
13,0.66666666666666663
14,0.63492063492063489
15,0.65079365079365081
16,0.65079365079365081
17,0.61904761904761907
18,0.63492063492063489
19,0.63492063492063489
20,0.63492063492063489
21,0.63492063492063489
22,0.63492063492063489
23,0.63492063492063489
24,0.63492063492063489
25,0.63492063492063489
26,0.63492063492063489
27,0.63492063492063489
28,0.63492063492063489
29,0.63492063492063489
30,0.63492063492063489
31,0.63492063492063489
32,0.63492063492063489
33,0.63492063492063489
34,0.63492063492063489
35,0.63492063492063489
36,0.63492063492063489
37,0.63492063492063489
38,0.63492063492063489
39,0.63492063492063489
40,0.63492063492063489
41,0.63492063492063489
42,0.63492063492063489
43,0.63492063492063489
44,0.63492063492063489
45,0.63492063492063489
46,0.63492063492063489
47,0.63492063492063489
48,0.63492063492063489
49,0.63492063492063489
50,0.63492063492063489
51,0.63492063492063489
52,0.63492063492063489
53,0.63492063492063489
54,0.63492063492063489
55,0.63492063492063489
56,0.63492063492063489
57,0.63492063492063489
58,0.63492063492063489
59,0.63492063492063489
60,0.63492063492063489
61,0.63492063492063489
62,0.63492063492063489
63,0.63492063492063489
64,0.63492063492063489
65,0.63492063492063489
66,0.63492063492063489
67,0.63492063492063489
68,0.63492063492063489
69,0.63492063492063489
70,0.63492063492063489
71,0.63492063492063489
72,0.63492063492063489
73,0.63492063492063489
74,0.63492063492063489
75,0.63492063492063489
76,0.63492063492063489
77,0.63492063492063489
78,0.63492063492063489
79,0.63492063492063489
80,0.63492063492063489
81,0.63492063492063489
82,0.63492063492063489
83,0.63492063492063489
84,0.63492063492063489
85,0.63492063492063489
86,0.63492063492063489
87,0.63492063492063489
88,0.63492063492063489
89,0.63492063492063489
90,0.63492063492063489
91,0.63492063492063489
92,0.63492063492063489
93,0.63492063492063489
94,0.63492063492063489
95,0.63492063492063489
96,0.63492063492063489
97,0.63492063492063489
98,0.63492063492063489
99,0.63492063492063489
