n_components,accuracy
2,0.94214876033057848
4,0.95041322314049592
6,0.9173553719008265
8,0.94214876033057848
10,0.93388429752066116
12,0.94214876033057848
14,0.94214876033057848
16,0.94214876033057848
18,0.94214876033057848
20,0.94214876033057848
22,0.95867768595041325
24,0.93388429752066116
26,0.94214876033057848
28,0.95041322314049592
30,0.93388429752066116
32,0.94214876033057848
34,0.92561983471074383
36,0.92561983471074383
38,0.95041322314049592
40,0.92561983471074383
42,0.95041322314049592
44,0.94214876033057848
46,0.93388429752066116
48,0.93388429752066116
50,0.93388429752066116
52,0.95041322314049592
54,0.94214876033057848
56,0.95041322314049592
58,0.95867768595041325
60,0.95041322314049592
62,0.94214876033057848
64,0.92561983471074383
66,0.94214876033057848
68,0.94214876033057848
70,0.94214876033057848
72,0.94214876033057848
74,0.94214876033057848
76,0.95041322314049592
78,0.93388429752066116
80,0.95041322314049592
82,0.94214876033057848
84,0.94214876033057848
86,0.95041322314049592
88,0.95041322314049592
90,0.94214876033057848
92,0.93388429752066116
94,0.94214876033057848
96,0.95041322314049592
98,0.94214876033057848
