n_components,accuracy
2,0.53968253968253965
3,0.73015873015873012
4,0.73015873015873012
5,0.74603174603174605
6,0.77777777777777779
7,0.76190476190476186
8,0.77777777777777779
9,0.69841269841269837
10,0.80952380952380953
11,0.77777777777777779
12,0.79365079365079361
13,0.7142857142857143
14,0.66666666666666663
15,0.5714285714285714
16,0.65079365079365081
17,0.65079365079365081
18,0.61904761904761907
19,0.69841269841269837
20,0.69841269841269837
21,0.66666666666666663
22,0.65079365079365081
23,0.65079365079365081
24,0.68253968253968256
25,0.66666666666666663
26,0.61904761904761907
27,0.65079365079365081
28,0.69841269841269837
29,0.68253968253968256
30,0.7142857142857143
31,0.63492063492063489
32,0.7142857142857143
33,0.65079365079365081
34,0.63492063492063489
35,0.63492063492063489
36,0.66666666666666663
37,0.5714285714285714
38,0.68253968253968256
39,0.69841269841269837
40,0.65079365079365081
41,0.65079365079365081
42,0.58730158730158732
43,0.53968253968253965
44,0.60317460317460314
45,0.73015873015873012
46,0.63492063492063489
47,0.60317460317460314
48,0.7142857142857143
49,0.60317460317460314
50,0.58730158730158732
51,0.69841269841269837
52,0.65079365079365081
53,0.5714285714285714
54,0.69841269841269837
55,0.65079365079365081
56,0.66666666666666663
57,0.58730158730158732
58,0.63492063492063489
59,0.65079365079365081
60,0.63492063492063489
61,0.68253968253968256
62,0.66666666666666663
