n_components,accuracy
296,0.65000000000000002
298,0.43333333333333335
300,0.53333333333333333
302,0.5
304,0.5
306,0.43333333333333335
308,0.5
310,0.5
312,0.6333333333333333
314,0.5
316,0.6166666666666667
318,0.55000000000000004
320,0.5
322,0.43333333333333335
324,0.45000000000000001
326,0.5
328,0.48333333333333334
330,0.51666666666666672
332,0.51666666666666672
334,0.5
336,0.48333333333333334
338,0.45000000000000001
340,0.5
342,0.48333333333333334
344,0.5
346,0.5
348,0.5
350,0.41666666666666669
352,0.53333333333333333
354,0.48333333333333334
356,0.41666666666666669
358,0.5
360,0.5
362,0.65000000000000002
364,0.58333333333333337
366,0.5
368,0.5
370,0.38333333333333336
372,0.6166666666666667
374,0.68333333333333335
376,0.45000000000000001
378,0.5
380,0.48333333333333334
382,0.34999999999999998
384,0.55000000000000004
386,0.41666666666666669
388,0.5
390,0.5
392,0.56666666666666665
394,0.5
396,0.41666666666666669
398,0.5
400,0.5
402,0.41666666666666669
404,0.56666666666666665
406,0.5
408,0.56666666666666665
410,0.5
412,0.53333333333333333
414,0.5
416,0.51666666666666672
418,0.5
420,0.38333333333333336
422,0.5
424,0.40000000000000002
426,0.5
428,0.5
430,0.43333333333333335
432,0.48333333333333334
434,0.46666666666666667
436,0.53333333333333333
438,0.46666666666666667
440,0.59999999999999998
442,0.66666666666666663
444,0.5
446,0.43333333333333335
448,0.5
450,0.43333333333333335
452,0.53333333333333333
454,0.51666666666666672
456,0.53333333333333333
458,0.51666666666666672
460,0.46666666666666667
462,0.45000000000000001
464,0.5
466,0.46666666666666667
468,0.48333333333333334
470,0.41666666666666669
472,0.5
474,0.5
476,0.5
478,0.59999999999999998
480,0.33333333333333331
482,0.53333333333333333
484,0.53333333333333333
486,0.36666666666666664
488,0.5
490,0.5
492,0.5
494,0.5
496,0.46666666666666667
498,0.5
500,0.43333333333333335
502,0.5
504,0.53333333333333333
506,0.41666666666666669
508,0.46666666666666667
510,0.5
512,0.48333333333333334
514,0.56666666666666665
516,0.5
518,0.5
520,0.5
522,0.46666666666666667
524,0.65000000000000002
526,0.56666666666666665
528,0.5
530,0.5
532,0.5
534,0.5
536,0.5
538,0.5
540,0.53333333333333333
542,0.55000000000000004
544,0.5
546,0.5
548,0.40000000000000002
550,0.40000000000000002
552,0.5
554,0.55000000000000004
556,0.41666666666666669
558,0.51666666666666672
560,0.43333333333333335
562,0.5
564,0.48333333333333334
566,0.56666666666666665
568,0.45000000000000001
570,0.5
572,0.48333333333333334
574,0.6166666666666667
576,0.41666666666666669
578,0.43333333333333335
580,0.5
582,0.45000000000000001
584,0.48333333333333334
586,0.5
588,0.55000000000000004
590,0.51666666666666672
592,0.53333333333333333
594,0.46666666666666667
596,0.40000000000000002
598,0.5
600,0.53333333333333333
602,0.40000000000000002
604,0.5
606,0.56666666666666665
608,0.51666666666666672
610,0.51666666666666672
612,0.58333333333333337
614,0.53333333333333333
616,0.56666666666666665
618,0.55000000000000004
620,0.5
622,0.55000000000000004
624,0.59999999999999998
626,0.45000000000000001
628,0.58333333333333337
630,0.55000000000000004
632,0.51666666666666672
634,0.5
636,0.58333333333333337
